,id,age,gender,hand,phase,block,modality,ntrial,v_pred,v_leading,v_trailing,a_pred,a_leading,a_trailing,catch,target,resp,RT,correct,diff,invalid_catch,block_mod,pred,ign_pred,ign_mod,relevant_expected,irrelevant_expected,v_learned,a_learned,att_learned,ign_learned,change_r,change,response
26,S01,22,Hombre,izquierda,1,0,auditory,36,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,1.0,diferente,0.4276393000000098,1,8.0,1.0,1,EXP,EXP,visual,1,1,1,0,0,1,8.0,0.4,1
27,S01,22,Hombre,izquierda,1,0,auditory,37,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,1.0,diferente,1.1455614999999852,1,8.0,1.0,1,EXP,EXP,visual,1,1,1,0,0,1,8.0,0.4,1
28,S01,22,Hombre,izquierda,1,0,auditory,38,VP,90.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,0.5649214000000029,1,8.0,1.0,1,EXP,VP,visual,1,0,1,0,0,1,0.0,0.0,0
29,S01,22,Hombre,izquierda,1,0,auditory,39,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,1.0,diferente,0.4751017999997202,1,8.0,1.0,1,EXP,EXP,visual,1,1,1,0,0,1,8.0,0.4,1
30,S01,22,Hombre,izquierda,1,0,auditory,40,EXP,0.0,135.0,VP,1600.0,100.0,0.0,1.0,diferente,0.7622851999999511,1,2.0,1.0,1,VP,EXP,visual,0,1,1,1,1,1,2.0,0.1,1
31,S01,22,Hombre,izquierda,1,0,auditory,41,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,0.443219599999793,1,2.0,1.0,1,EXP,EXP,visual,1,1,1,0,0,1,0.0,0.0,0
32,S01,22,Hombre,izquierda,1,0,auditory,42,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,0.4117771000001085,1,2.0,1.0,1,EXP,EXP,visual,1,1,1,1,1,1,0.0,0.0,0
33,S01,22,Hombre,izquierda,1,0,auditory,43,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,0.3949247999998988,1,2.0,1.0,1,EXP,EXP,visual,1,1,1,1,1,1,0.0,0.0,0
34,S01,22,Hombre,izquierda,1,0,auditory,44,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,1.0,normal,0.380366899999899,0,2.0,1.0,1,EXP,EXP,visual,1,1,1,1,1,1,2.0,0.1,0
35,S01,22,Hombre,izquierda,1,0,auditory,45,EXP,90.0,45.0,VP,1000.0,160.0,0.0,1.0,diferente,0.4847603999996863,1,8.0,1.0,1,VP,EXP,visual,0,1,1,0,0,1,8.0,0.4,1
36,S01,22,Hombre,izquierda,1,0,auditory,46,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,0.4122519999996257,1,8.0,1.0,1,EXP,EXP,visual,1,1,1,0,0,1,0.0,0.0,0
37,S01,22,Hombre,izquierda,1,0,auditory,47,VP,90.0,135.0,VP,1000.0,160.0,0.0,0.0,normal,0.4618599999998878,1,8.0,1.0,1,VP,VP,visual,0,0,1,0,0,1,0.0,0.0,0
38,S01,22,Hombre,izquierda,1,0,auditory,48,VP,0.0,45.0,VP,1000.0,160.0,0.0,0.0,normal,0.3789594999998371,1,8.0,1.0,1,VP,VP,visual,0,0,1,0,0,1,0.0,0.0,0
39,S01,22,Hombre,izquierda,1,0,auditory,49,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,0.463599400000021,1,8.0,1.0,1,EXP,EXP,visual,1,1,1,1,1,1,0.0,0.0,0
40,S01,22,Hombre,izquierda,1,0,auditory,51,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,0.4397662999999738,1,8.0,1.0,1,EXP,EXP,visual,1,1,1,1,1,1,0.0,0.0,0
41,S01,22,Hombre,izquierda,1,0,auditory,52,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,1.0,diferente,0.3144551000000319,1,8.0,1.0,1,EXP,EXP,visual,1,1,1,1,1,1,8.0,0.4,1
