,id,age,gender,hand,phase,block,modality,ntrial,v_pred,v_leading,v_trailing,a_pred,a_leading,a_trailing,catch,target,resp,RT,correct,diff
2685,S33,22,Mujer,derecha,2,1,auditory,5,,,,EXP,1600.0,100.0,,,frecuente,2.1816036000382155,1,
2686,S33,22,Mujer,derecha,2,1,auditory,6,,,,VP,1000.0,100.0,,,frecuente,0.9362853000639006,0,
2687,S33,22,Mujer,derecha,2,1,auditory,7,,,,VP,1600.0,160.0,,,raro,2.492487199953757,1,
3568,S34,18,Mujer,derecha,2,0,auditory,0,,,,EXP,1000.0,100.0,,,frecuente,3.0210924000130035,1,
3569,S34,18,Mujer,derecha,2,0,auditory,1,,,,VP,1000.0,160.0,,,frecuente,1.0626224000006914,0,
3570,S34,18,Mujer,derecha,2,0,auditory,2,,,,EXP,1600.0,160.0,,,frecuente,1.2449005999951623,1,
3571,S34,18,Mujer,derecha,2,0,auditory,3,,,,VP,1600.0,100.0,,,frecuente,1.199005800008308,0,
3572,S34,18,Mujer,derecha,2,0,auditory,4,,,,VP,1600.0,100.0,,,frecuente,0.2002886999980546,0,
3573,S34,18,Mujer,derecha,2,0,auditory,5,,,,EXP,1600.0,160.0,,,frecuente,1.039441099972464,1,
3574,S34,18,Mujer,derecha,2,0,auditory,6,,,,EXP,1000.0,100.0,,,frecuente,0.294827300007455,1,
3575,S34,18,Mujer,derecha,2,0,auditory,7,,,,VP,1000.0,160.0,,,raro,1.370357200037688,1,
3576,S34,18,Mujer,derecha,2,1,visual,0,VP,90.0,135.0,,,,,,frecuente,2.948350600025151,0,
3577,S34,18,Mujer,derecha,2,1,visual,1,EXP,90.0,45.0,,,,,,raro,0.4384334000060335,0,
3578,S34,18,Mujer,derecha,2,1,visual,2,VP,90.0,135.0,,,,,,frecuente,0.7649715999723412,0,
3579,S34,18,Mujer,derecha,2,1,visual,3,EXP,0.0,135.0,,,,,,raro,0.5756891000200994,0,
3580,S34,18,Mujer,derecha,2,1,visual,4,EXP,90.0,45.0,,,,,,frecuente,1.02475450001657,1,
3581,S34,18,Mujer,derecha,2,1,visual,5,VP,0.0,45.0,,,,,,frecuente,0.2485956000164151,0,
3582,S34,18,Mujer,derecha,2,1,visual,6,VP,0.0,45.0,,,,,,frecuente,1.2232426999835295,0,
3583,S34,18,Mujer,derecha,2,1,visual,7,EXP,0.0,135.0,,,,,,raro,0.5344552000169642,0,
4464,S35,18,Mujer,derecha,2,0,auditory,0,,,,VP,1000.0,100.0,,,frecuente,5.318717599962838,0,
