,id,age,gender,hand,phase,block,modality,ntrial,v_pred,v_leading,v_trailing,a_pred,a_leading,a_trailing,catch,target,resp,RT,correct,diff
880,S01,22,Hombre,izquierda,2,0,auditory,0,,,,EXP,1000.0,100.0,,,raro,6.922917599999892,0,
881,S01,22,Hombre,izquierda,2,0,auditory,1,,,,EXP,1000.0,100.0,,,frecuente,3.726101199999903,1,
882,S01,22,Hombre,izquierda,2,0,auditory,2,,,,VP,1600.0,100.0,,,raro,10.809972900000504,1,
883,S01,22,Hombre,izquierda,2,0,auditory,3,,,,VP,1000.0,160.0,,,frecuente,1.1443368000000191,0,
884,S01,22,Hombre,izquierda,2,0,auditory,4,,,,EXP,1600.0,160.0,,,frecuente,0.6137950999991517,1,
885,S01,22,Hombre,izquierda,2,0,auditory,5,,,,VP,1000.0,160.0,,,frecuente,6.165133999999853,0,
886,S01,22,Hombre,izquierda,2,0,auditory,6,,,,EXP,1600.0,160.0,,,frecuente,0.3454467000001386,1,
887,S01,22,Hombre,izquierda,2,0,auditory,7,,,,VP,1600.0,100.0,,,raro,0.3927456999999776,1,
888,S01,22,Hombre,izquierda,2,1,visual,0,EXP,90.0,45.0,,,,,,frecuente,4.43401300000005,1,
889,S01,22,Hombre,izquierda,2,1,visual,1,VP,0.0,45.0,,,,,,raro,0.580647300000237,1,
890,S01,22,Hombre,izquierda,2,1,visual,2,VP,90.0,135.0,,,,,,raro,0.7515928000002532,1,
891,S01,22,Hombre,izquierda,2,1,visual,3,VP,0.0,45.0,,,,,,raro,0.6392900000000736,1,
892,S01,22,Hombre,izquierda,2,1,visual,4,EXP,0.0,135.0,,,,,,frecuente,0.4576993000000584,1,
893,S01,22,Hombre,izquierda,2,1,visual,5,EXP,0.0,135.0,,,,,,frecuente,0.437879499999326,1,
894,S01,22,Hombre,izquierda,2,1,visual,6,VP,90.0,135.0,,,,,,raro,0.916118799999822,1,
895,S01,22,Hombre,izquierda,2,1,visual,7,EXP,90.0,45.0,,,,,,frecuente,0.3938140999998722,1,
1776,S02,19,Mujer,derecha,2,0,auditory,0,,,,VP,1000.0,160.0,,,frecuente,1.5585949000005712,0,
1777,S02,19,Mujer,derecha,2,0,auditory,1,,,,VP,1600.0,100.0,,,frecuente,2.591048399999636,0,
1778,S02,19,Mujer,derecha,2,0,auditory,2,,,,VP,1000.0,160.0,,,frecuente,1.228541600000426,0,
1779,S02,19,Mujer,derecha,2,0,auditory,3,,,,EXP,1000.0,100.0,,,raro,1.440113200000269,0,
1780,S02,19,Mujer,derecha,2,0,auditory,4,,,,EXP,1000.0,100.0,,,frecuente,0.545350999999755,1,
1781,S02,19,Mujer,derecha,2,0,auditory,5,,,,EXP,1600.0,160.0,,,frecuente,1.401970099999744,1,
1782,S02,19,Mujer,derecha,2,0,auditory,6,,,,VP,1600.0,100.0,,,raro,0.7234895000001416,1,
1783,S02,19,Mujer,derecha,2,0,auditory,7,,,,EXP,1600.0,160.0,,,frecuente,1.0297129000000496,1,
1784,S02,19,Mujer,derecha,2,1,visual,0,VP,0.0,45.0,,,,,,raro,1.7163071999993915,1,
1785,S02,19,Mujer,derecha,2,1,visual,1,VP,90.0,135.0,,,,,,raro,0.8604636999998547,1,
1786,S02,19,Mujer,derecha,2,1,visual,2,VP,0.0,45.0,,,,,,raro,0.6681712999998126,1,
1787,S02,19,Mujer,derecha,2,1,visual,3,EXP,90.0,45.0,,,,,,frecuente,0.8472062000000733,1,
1788,S02,19,Mujer,derecha,2,1,visual,4,EXP,90.0,45.0,,,,,,frecuente,3.094887799999924,1,
1789,S02,19,Mujer,derecha,2,1,visual,5,VP,90.0,135.0,,,,,,raro,1.0065419000002294,1,
1790,S02,19,Mujer,derecha,2,1,visual,6,EXP,0.0,135.0,,,,,,frecuente,0.9594035999998596,1,
1791,S02,19,Mujer,derecha,2,1,visual,7,EXP,0.0,135.0,,,,,,frecuente,0.7508732000005693,1,
2672,S03,33,Mujer,derecha,2,0,visual,0,VP,90.0,135.0,,,,,,frecuente,1.8714700000000448,0,
2673,S03,33,Mujer,derecha,2,0,visual,1,VP,90.0,135.0,,,,,,frecuente,0.4628766000005271,0,
2674,S03,33,Mujer,derecha,2,0,visual,2,VP,0.0,45.0,,,,,,frecuente,0.4469040999993012,0,
2675,S03,33,Mujer,derecha,2,0,visual,3,EXP,90.0,45.0,,,,,,frecuente,0.2450626000008924,1,
2676,S03,33,Mujer,derecha,2,0,visual,4,VP,0.0,45.0,,,,,,frecuente,1.2878123999998934,0,
2677,S03,33,Mujer,derecha,2,0,visual,5,EXP,0.0,135.0,,,,,,frecuente,1.6165326999998797,1,
2678,S03,33,Mujer,derecha,2,0,visual,6,EXP,0.0,135.0,,,,,,frecuente,1.278004300000248,1,
2679,S03,33,Mujer,derecha,2,0,visual,7,EXP,90.0,45.0,,,,,,frecuente,0.207414599999538,1,
2680,S03,33,Mujer,derecha,2,1,auditory,0,,,,EXP,1600.0,100.0,,,frecuente,5.397932199999559,1,
2681,S03,33,Mujer,derecha,2,1,auditory,1,,,,EXP,1000.0,160.0,,,frecuente,1.270141799999692,1,
2682,S03,33,Mujer,derecha,2,1,auditory,2,,,,EXP,1600.0,100.0,,,frecuente,1.0369884000010643,1,
2683,S03,33,Mujer,derecha,2,1,auditory,3,,,,VP,1000.0,100.0,,,frecuente,0.5116799000006722,0,
2684,S03,33,Mujer,derecha,2,1,auditory,4,,,,VP,1600.0,160.0,,,raro,1.7070858999995835,1,
2685,S03,33,Mujer,derecha,2,1,auditory,5,,,,EXP,1000.0,160.0,,,frecuente,0.8412078000001202,1,
2686,S03,33,Mujer,derecha,2,1,auditory,6,,,,VP,1600.0,160.0,,,frecuente,0.7979436999994505,0,
2687,S03,33,Mujer,derecha,2,1,auditory,7,,,,VP,1000.0,100.0,,,frecuente,0.6447007999995549,0,
3568,S04,18,Mujer,derecha,2,0,auditory,0,,,,EXP,1600.0,100.0,,,frecuente,2.3339786000005915,1,
3569,S04,18,Mujer,derecha,2,0,auditory,1,,,,VP,1600.0,160.0,,,raro,3.24237599999924,1,
3570,S04,18,Mujer,derecha,2,0,auditory,2,,,,EXP,1000.0,160.0,,,frecuente,0.4468236000002434,1,
3571,S04,18,Mujer,derecha,2,0,auditory,3,,,,EXP,1600.0,100.0,,,frecuente,0.5041039999996428,1,
3572,S04,18,Mujer,derecha,2,0,auditory,4,,,,VP,1600.0,160.0,,,raro,0.5641828999996505,1,
3573,S04,18,Mujer,derecha,2,0,auditory,5,,,,VP,1000.0,100.0,,,frecuente,0.3735147999996115,0,
3574,S04,18,Mujer,derecha,2,0,auditory,6,,,,VP,1000.0,100.0,,,frecuente,0.2507845000000088,0,
3575,S04,18,Mujer,derecha,2,0,auditory,7,,,,EXP,1000.0,160.0,,,raro,0.360884900000201,0,
3576,S04,18,Mujer,derecha,2,1,visual,0,VP,0.0,135.0,,,,,,raro,1.6543346999997084,1,
3577,S04,18,Mujer,derecha,2,1,visual,1,EXP,0.0,45.0,,,,,,frecuente,0.406717199999548,1,
3578,S04,18,Mujer,derecha,2,1,visual,2,EXP,90.0,135.0,,,,,,frecuente,1.4234236000002056,1,
3579,S04,18,Mujer,derecha,2,1,visual,3,VP,0.0,135.0,,,,,,raro,1.1568600000000515,1,
3580,S04,18,Mujer,derecha,2,1,visual,4,EXP,90.0,135.0,,,,,,frecuente,0.5179660000003423,1,
3581,S04,18,Mujer,derecha,2,1,visual,5,EXP,0.0,45.0,,,,,,frecuente,0.5446897000001627,1,
3582,S04,18,Mujer,derecha,2,1,visual,6,VP,90.0,45.0,,,,,,raro,0.3682564000000639,1,
3583,S04,18,Mujer,derecha,2,1,visual,7,VP,90.0,45.0,,,,,,raro,0.3932820999998512,1,
4464,S05,24,Mujer,izquierda,2,0,auditory,0,,,,EXP,1000.0,160.0,,,frecuente,3.51405479999994,1,
4465,S05,24,Mujer,izquierda,2,0,auditory,1,,,,VP,1000.0,100.0,,,frecuente,1.769021499999326,0,
4466,S05,24,Mujer,izquierda,2,0,auditory,2,,,,VP,1600.0,160.0,,,frecuente,0.938075099999878,0,
4467,S05,24,Mujer,izquierda,2,0,auditory,3,,,,EXP,1000.0,160.0,,,raro,0.6161882999995214,0,
4468,S05,24,Mujer,izquierda,2,0,auditory,4,,,,VP,1600.0,160.0,,,raro,0.479148699999314,1,
4469,S05,24,Mujer,izquierda,2,0,auditory,5,,,,EXP,1600.0,100.0,,,frecuente,5.662461400000211,1,
4470,S05,24,Mujer,izquierda,2,0,auditory,6,,,,VP,1000.0,100.0,,,raro,0.9394662000004246,1,
4471,S05,24,Mujer,izquierda,2,0,auditory,7,,,,EXP,1600.0,100.0,,,frecuente,0.91900220000025,1,
4472,S05,24,Mujer,izquierda,2,1,visual,0,EXP,90.0,45.0,,,,,,frecuente,0.9007816000003004,1,
4473,S05,24,Mujer,izquierda,2,1,visual,1,VP,90.0,135.0,,,,,,raro,0.3769007999999303,1,
4474,S05,24,Mujer,izquierda,2,1,visual,2,EXP,0.0,135.0,,,,,,frecuente,0.6221017999996548,1,
4475,S05,24,Mujer,izquierda,2,1,visual,3,VP,0.0,45.0,,,,,,raro,0.3740890999997646,1,
4476,S05,24,Mujer,izquierda,2,1,visual,4,VP,90.0,135.0,,,,,,raro,1.3255514000002222,1,
4477,S05,24,Mujer,izquierda,2,1,visual,5,EXP,90.0,45.0,,,,,,frecuente,0.3032924999997703,1,
4478,S05,24,Mujer,izquierda,2,1,visual,6,EXP,0.0,135.0,,,,,,frecuente,0.9595094000005702,1,
4479,S05,24,Mujer,izquierda,2,1,visual,7,VP,0.0,45.0,,,,,,raro,0.6653681999996479,1,
5360,S06,26,Mujer,izquierda,2,0,visual,0,VP,0.0,45.0,,,,,,frecuente,2.240647100000388,0,
5361,S06,26,Mujer,izquierda,2,0,visual,1,VP,0.0,45.0,,,,,,frecuente,0.6301006000003326,0,
5362,S06,26,Mujer,izquierda,2,0,visual,2,VP,90.0,135.0,,,,,,frecuente,0.5361890000003768,0,
5363,S06,26,Mujer,izquierda,2,0,visual,3,EXP,90.0,45.0,,,,,,frecuente,1.9509088999993764,1,
