id,age,gender,hand,phase,block,modality,ntrial,v_pred,v_leading,v_trailing,a_pred,a_leading,a_trailing,catch,target,resp,RT,correct,diff
S16,20,Mujer,derecha,0,0,auditory,0,EXP,0.0,135.0,EXP,1600.0,160.0,1.0,0.0,catch,5.324143699835986,1,
S16,20,Mujer,derecha,0,0,auditory,1,EXP,90.0,45.0,EXP,1000.0,100.0,1.0,0.0,catch,1.394186100224033,1,
S16,20,Mujer,derecha,0,0,auditory,2,VP,90.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,1.2643858999945223,1,
S16,20,Mujer,derecha,0,0,auditory,3,VP,90.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,1.1946574000176042,1,
S16,20,Mujer,derecha,0,0,auditory,4,EXP,0.0,135.0,EXP,1000.0,100.0,1.0,0.0,catch,1.6602612999267876,1,
S16,20,Mujer,derecha,0,0,auditory,5,EXP,90.0,45.0,EXP,1600.0,160.0,2.0,0.0,catch,1.084592100000009,1,
S16,20,Mujer,derecha,0,0,auditory,6,EXP,0.0,135.0,VP,1600.0,100.0,0.0,0.0,normal,0.924319399986416,1,
S16,20,Mujer,derecha,0,0,auditory,7,VP,90.0,135.0,VP,1000.0,160.0,0.0,0.0,normal,2.238583100028336,1,
S16,20,Mujer,derecha,0,0,auditory,8,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,1.319710500072688,1,
S16,20,Mujer,derecha,0,0,auditory,9,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,0.6267427999991924,1,
S16,20,Mujer,derecha,0,0,auditory,10,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,0.5598848001100123,1,
S16,20,Mujer,derecha,0,0,auditory,11,EXP,90.0,45.0,EXP,1600.0,160.0,1.0,0.0,catch,0.781003599986434,1,
S16,20,Mujer,derecha,0,0,auditory,12,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,catch,0.9232461000792682,0,
S16,20,Mujer,derecha,0,0,auditory,13,EXP,0.0,135.0,EXP,1000.0,100.0,2.0,0.0,catch,0.8755910999607295,1,
S16,20,Mujer,derecha,0,0,auditory,14,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,0.8236697998363525,1,
S16,20,Mujer,derecha,0,0,auditory,15,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,2.3339498001150787,1,
S16,20,Mujer,derecha,0,0,auditory,16,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,1.1298173000104723,1,
S16,20,Mujer,derecha,0,0,auditory,17,EXP,90.0,45.0,EXP,1000.0,100.0,2.0,0.0,catch,0.5761660998687148,1,
S16,20,Mujer,derecha,0,0,auditory,18,VP,0.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,1.1077439999207854,1,
S16,20,Mujer,derecha,0,0,auditory,19,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,0.7500748001039028,1,
