id,age,gender,hand,phase,block,modality,ntrial,v_pred,v_leading,v_trailing,a_pred,a_leading,a_trailing,catch,target,resp,RT,correct,diff
S21,21,Mujer,derecha,0,0,auditory,0,EXP,90.0,45.0,EXP,1000.0,160.0,0.0,0.0,normal,2.937288899993291,1,
S21,21,Mujer,derecha,0,0,auditory,1,VP,0.0,45.0,VP,1600.0,160.0,0.0,0.0,normal,0.4493463999970117,1,
S21,21,Mujer,derecha,0,0,auditory,2,EXP,0.0,135.0,VP,1000.0,100.0,0.0,0.0,normal,0.6359411000012187,1,
S21,21,Mujer,derecha,0,0,auditory,3,EXP,0.0,135.0,EXP,1600.0,100.0,0.0,0.0,normal,0.395330199986347,1,
S21,21,Mujer,derecha,0,0,auditory,4,EXP,90.0,45.0,EXP,1000.0,160.0,0.0,0.0,normal,0.3860155000002123,1,
S21,21,Mujer,derecha,0,0,auditory,5,EXP,90.0,45.0,EXP,1000.0,160.0,0.0,0.0,normal,0.3511456999985967,1,
S21,21,Mujer,derecha,0,0,auditory,6,EXP,0.0,135.0,EXP,1600.0,100.0,1.0,0.0,catch,0.2948711999924853,1,
S21,21,Mujer,derecha,0,0,auditory,7,VP,90.0,135.0,EXP,1000.0,160.0,0.0,0.0,normal,0.7732940999994753,1,
S21,21,Mujer,derecha,0,0,auditory,8,EXP,90.0,45.0,EXP,1000.0,160.0,1.0,0.0,catch,0.2717962000024272,1,
S21,21,Mujer,derecha,0,0,auditory,9,EXP,90.0,45.0,EXP,1000.0,160.0,0.0,0.0,normal,0.3246114999928977,1,
S21,21,Mujer,derecha,0,0,auditory,10,EXP,90.0,45.0,EXP,1600.0,100.0,0.0,0.0,normal,0.6674647000036202,1,
S21,21,Mujer,derecha,0,0,auditory,11,EXP,90.0,45.0,EXP,1000.0,160.0,2.0,0.0,catch,1.2986470000032568,1,
S21,21,Mujer,derecha,0,0,auditory,12,EXP,90.0,45.0,VP,1000.0,100.0,0.0,0.0,normal,0.9968387999979312,1,
S21,21,Mujer,derecha,0,0,auditory,13,EXP,0.0,135.0,EXP,1000.0,160.0,0.0,0.0,normal,0.3098524999950314,1,
S21,21,Mujer,derecha,0,0,auditory,14,EXP,0.0,135.0,EXP,1600.0,100.0,0.0,0.0,normal,0.354101000004448,1,
S21,21,Mujer,derecha,0,0,auditory,15,EXP,0.0,135.0,EXP,1000.0,160.0,1.0,0.0,catch,0.3287485999899218,1,
S21,21,Mujer,derecha,0,0,auditory,16,EXP,0.0,135.0,EXP,1000.0,160.0,0.0,0.0,normal,0.3359269999928074,1,
S21,21,Mujer,derecha,0,0,auditory,17,VP,90.0,135.0,VP,1600.0,160.0,0.0,0.0,normal,0.3322574000048917,1,
S21,21,Mujer,derecha,0,0,auditory,18,EXP,0.0,135.0,EXP,1600.0,100.0,0.0,0.0,normal,0.562907700004871,1,
S21,21,Mujer,derecha,0,0,auditory,19,EXP,90.0,45.0,EXP,1600.0,100.0,2.0,0.0,catch,0.5743909000011627,1,
S21,21,Mujer,derecha,0,0,auditory,20,EXP,0.0,135.0,EXP,1600.0,100.0,2.0,0.0,catch,1.232746499998029,1,
