id,age,gender,hand,phase,block,modality,ntrial,v_pred,v_leading,v_trailing,a_pred,a_leading,a_trailing,catch,target,resp,RT,correct,diff
S17,19,Mujer,derecha,0,0,visual,0,EXP,90.0,135.0,EXP,1600.0,100.0,1.0,0.0,catch,0.7337921000435017,1,
S17,19,Mujer,derecha,0,0,visual,1,EXP,90.0,135.0,EXP,1600.0,100.0,0.0,0.0,normal,0.3790094000287354,1,
S17,19,Mujer,derecha,0,0,visual,2,EXP,90.0,135.0,EXP,1600.0,100.0,0.0,0.0,normal,0.5995920999557711,1,
S17,19,Mujer,derecha,0,0,visual,3,EXP,90.0,135.0,VP,1600.0,160.0,0.0,0.0,normal,0.551763600029517,1,
S17,19,Mujer,derecha,0,0,visual,4,EXP,0.0,45.0,EXP,1600.0,100.0,1.0,0.0,catch,0.3745372000266798,1,
S17,19,Mujer,derecha,0,0,visual,5,EXP,90.0,135.0,EXP,1000.0,160.0,0.0,0.0,normal,0.322485200013034,1,
S17,19,Mujer,derecha,0,0,visual,6,EXP,90.0,135.0,EXP,1600.0,100.0,0.0,0.0,normal,0.1046784999780356,1,
S17,19,Mujer,derecha,0,0,visual,7,EXP,90.0,135.0,EXP,1600.0,100.0,0.0,0.0,normal,0.2848082999698818,1,
S17,19,Mujer,derecha,0,0,visual,8,EXP,0.0,45.0,VP,1000.0,100.0,0.0,0.0,normal,0.1872159999911673,1,
S17,19,Mujer,derecha,0,0,visual,9,EXP,0.0,45.0,EXP,1000.0,160.0,0.0,0.0,normal,0.3107614000327885,1,
S17,19,Mujer,derecha,0,0,visual,10,EXP,90.0,135.0,EXP,1600.0,100.0,0.0,0.0,normal,0.1112793000065721,1,
S17,19,Mujer,derecha,0,0,visual,11,EXP,90.0,135.0,EXP,1000.0,160.0,0.0,0.0,normal,0.2066975000197999,1,
S17,19,Mujer,derecha,0,0,visual,12,EXP,0.0,45.0,EXP,1600.0,100.0,0.0,0.0,normal,0.4852725000237115,1,
S17,19,Mujer,derecha,0,0,visual,13,EXP,0.0,45.0,EXP,1000.0,160.0,1.0,0.0,catch,0.2622945999610238,1,
S17,19,Mujer,derecha,0,0,visual,14,VP,0.0,135.0,EXP,1600.0,100.0,0.0,0.0,normal,0.4019291999866254,1,
S17,19,Mujer,derecha,0,0,visual,15,VP,90.0,45.0,EXP,1000.0,160.0,0.0,0.0,normal,0.2283536999602802,1,
S17,19,Mujer,derecha,0,0,visual,16,EXP,0.0,45.0,EXP,1000.0,160.0,0.0,0.0,normal,0.1875115999719128,1,
S17,19,Mujer,derecha,0,0,visual,17,EXP,0.0,45.0,EXP,1600.0,100.0,0.0,0.0,normal,0.1808482999913394,1,
S17,19,Mujer,derecha,0,0,visual,18,EXP,0.0,45.0,EXP,1000.0,160.0,0.0,0.0,normal,0.267271900025662,1,
S17,19,Mujer,derecha,0,0,visual,19,VP,0.0,135.0,VP,1600.0,160.0,0.0,0.0,normal,0.3008336999919265,1,
S17,19,Mujer,derecha,0,0,visual,20,EXP,0.0,45.0,EXP,1600.0,100.0,0.0,0.0,normal,0.1613594000227749,1,
S17,19,Mujer,derecha,0,0,visual,21,VP,90.0,45.0,EXP,1600.0,100.0,0.0,0.0,normal,0.0646774999913759,1,
S17,19,Mujer,derecha,0,0,visual,22,EXP,90.0,135.0,EXP,1000.0,160.0,0.0,0.0,normal,0.2142477000015787,1,
S17,19,Mujer,derecha,0,0,visual,23,EXP,0.0,45.0,EXP,1000.0,160.0,2.0,0.0,catch,0.2380054999957792,1,
S17,19,Mujer,derecha,0,0,visual,24,EXP,90.0,135.0,EXP,1000.0,160.0,1.0,0.0,catch,0.2454303000122308,1,
S17,19,Mujer,derecha,0,0,visual,25,EXP,0.0,45.0,EXP,1600.0,100.0,0.0,0.0,normal,0.1823671000311151,1,
S17,19,Mujer,derecha,0,0,visual,26,EXP,90.0,135.0,EXP,1000.0,160.0,0.0,0.0,normal,0.2927199000259861,1,
S17,19,Mujer,derecha,0,0,visual,27,EXP,0.0,45.0,EXP,1600.0,100.0,0.0,0.0,normal,0.7566834000172094,1,
S17,19,Mujer,derecha,0,0,visual,28,EXP,0.0,45.0,VP,1600.0,160.0,0.0,0.0,normal,0.1774209000286646,1,
S17,19,Mujer,derecha,0,0,visual,29,EXP,90.0,135.0,EXP,1000.0,160.0,2.0,0.0,catch,0.127161199983675,1,
S17,19,Mujer,derecha,0,0,visual,30,EXP,90.0,135.0,EXP,1600.0,100.0,2.0,0.0,catch,0.1583316000178456,1,
