id,age,gender,hand,phase,block,modality,ntrial,v_pred,v_leading,v_trailing,a_pred,a_leading,a_trailing,catch,target,resp,RT,correct,diff
S59,42,Mujer,izquierda,0,0,visual,0,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,8.639081900000747,1,
S59,42,Mujer,izquierda,0,0,visual,1,VP,0.0,45.0,VP,1000.0,160.0,0.0,0.0,normal,1.96511929999906,1,
S59,42,Mujer,izquierda,0,0,visual,2,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,1.2898429000015312,1,
S59,42,Mujer,izquierda,0,0,visual,3,EXP,90.0,45.0,VP,1600.0,100.0,0.0,0.0,normal,1.3754322999993749,1,
S59,42,Mujer,izquierda,0,0,visual,4,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,1.169750000000931,1,
S59,42,Mujer,izquierda,0,0,visual,5,EXP,90.0,45.0,VP,1000.0,160.0,0.0,0.0,normal,1.462782899998274,1,
S59,42,Mujer,izquierda,0,0,visual,6,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,1.276019699998869,1,
S59,42,Mujer,izquierda,0,0,visual,7,VP,0.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,1.486749100000452,1,
S59,42,Mujer,izquierda,0,0,visual,8,EXP,90.0,45.0,EXP,1000.0,100.0,1.0,0.0,normal,0.8135607000003802,0,
S59,42,Mujer,izquierda,0,0,visual,9,VP,90.0,135.0,VP,1600.0,100.0,0.0,0.0,normal,0.7452119000008679,1,
S59,42,Mujer,izquierda,0,0,visual,10,VP,90.0,135.0,VP,1000.0,160.0,0.0,0.0,normal,0.7701446999999462,1,
S59,42,Mujer,izquierda,0,0,visual,11,EXP,0.0,135.0,EXP,1000.0,100.0,1.0,0.0,catch,5.6977547999995295,1,
S59,42,Mujer,izquierda,0,0,visual,12,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,1.8389102000001003,1,
S59,42,Mujer,izquierda,0,0,visual,13,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,2.065938499999902,1,
S59,42,Mujer,izquierda,0,0,visual,14,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,2.3313476000002997,1,
S59,42,Mujer,izquierda,0,0,visual,15,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,0.7486486999987392,1,
S59,42,Mujer,izquierda,0,0,visual,16,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,0.6453353999968385,1,
S59,42,Mujer,izquierda,0,0,visual,17,EXP,90.0,45.0,EXP,1600.0,160.0,1.0,0.0,catch,0.9658624999974564,1,
S59,42,Mujer,izquierda,0,0,visual,18,VP,0.0,45.0,VP,1600.0,100.0,0.0,0.0,normal,1.274187900002289,1,
S59,42,Mujer,izquierda,0,0,visual,19,VP,90.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,0.846340500000224,1,
S59,42,Mujer,izquierda,0,0,visual,20,EXP,0.0,135.0,EXP,1600.0,160.0,2.0,0.0,catch,1.5956188999989536,1,
S59,42,Mujer,izquierda,0,0,visual,21,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,1.468261800000619,1,
S59,42,Mujer,izquierda,0,0,visual,22,EXP,90.0,45.0,EXP,1000.0,100.0,2.0,0.0,catch,0.9645305999983976,1,
S59,42,Mujer,izquierda,0,0,visual,23,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,0.663068400001066,1,
S59,42,Mujer,izquierda,0,0,visual,24,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,0.5980352999977185,1,
S59,42,Mujer,izquierda,0,0,visual,25,EXP,0.0,135.0,EXP,1000.0,100.0,2.0,0.0,catch,0.8273783999975421,1,
S59,42,Mujer,izquierda,0,0,visual,26,EXP,90.0,45.0,EXP,1600.0,160.0,2.0,0.0,normal,2.6478244999998424,0,
