id,age,gender,hand,phase,block,modality,ntrial,v_pred,v_leading,v_trailing,a_pred,a_leading,a_trailing,catch,target,resp,RT,correct,diff
S56,22,Mujer,derecha,0,0,auditory,0,EXP,0.0,135.0,EXP,1000.0,100.0,2.0,0.0,catch,2.150300099980086,1,
S56,22,Mujer,derecha,0,0,auditory,1,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,1.612504500197247,1,
S56,22,Mujer,derecha,0,0,auditory,2,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,0.6030012997798622,1,
S56,22,Mujer,derecha,0,0,auditory,3,EXP,90.0,45.0,VP,1000.0,160.0,0.0,0.0,catch,1.269275600090623,0,
S56,22,Mujer,derecha,0,0,auditory,4,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,0.3824622998945415,1,
S56,22,Mujer,derecha,0,0,auditory,5,EXP,0.0,135.0,VP,1600.0,100.0,0.0,0.0,normal,0.7165559998247772,1,
S56,22,Mujer,derecha,0,0,auditory,6,VP,0.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,1.0815292000770569,1,
S56,22,Mujer,derecha,0,0,auditory,7,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,2.1625215001404285,1,
S56,22,Mujer,derecha,0,0,auditory,8,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,0.9710949000436812,1,
S56,22,Mujer,derecha,0,0,auditory,9,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,0.60889370017685,1,
S56,22,Mujer,derecha,0,0,auditory,10,EXP,0.0,135.0,VP,1000.0,160.0,0.0,0.0,normal,0.2236530999653041,1,
S56,22,Mujer,derecha,0,0,auditory,11,VP,0.0,45.0,VP,1600.0,100.0,0.0,0.0,normal,0.436093800002709,1,
S56,22,Mujer,derecha,0,0,auditory,12,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,0.8080412999261171,1,
S56,22,Mujer,derecha,0,0,auditory,13,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,0.330469099804759,1,
S56,22,Mujer,derecha,0,0,auditory,14,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,0.5842792000621557,1,
S56,22,Mujer,derecha,0,0,auditory,15,VP,90.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,0.3482125999871641,1,
S56,22,Mujer,derecha,0,0,auditory,16,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,0.4809812000021338,1,
S56,22,Mujer,derecha,0,0,auditory,17,VP,90.0,135.0,VP,1600.0,100.0,0.0,0.0,normal,0.3073317999951541,1,
S56,22,Mujer,derecha,0,0,auditory,18,EXP,90.0,45.0,VP,1600.0,100.0,0.0,0.0,normal,0.443055700045079,1,
S56,22,Mujer,derecha,0,0,auditory,19,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,0.2592045001219958,1,
S56,22,Mujer,derecha,0,0,auditory,20,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,0.2905343000311404,1,
