id,age,gender,hand,phase,block,modality,ntrial,v_pred,v_leading,v_trailing,a_pred,a_leading,a_trailing,catch,target,resp,RT,correct,diff
S32,20,Mujer,derecha,0,0,visual,0,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,catch,0.6419763000003513,0,
S32,20,Mujer,derecha,0,0,visual,1,VP,0.0,45.0,EXP,1600.0,160.0,0.0,0.0,catch,0.5688222999997379,0,
S32,20,Mujer,derecha,0,0,visual,2,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,0.4650558000003002,1,
S32,20,Mujer,derecha,0,0,visual,3,EXP,0.0,135.0,VP,1000.0,160.0,0.0,0.0,normal,0.593835399999989,1,
S32,20,Mujer,derecha,0,0,visual,4,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,0.3223636000002443,1,
S32,20,Mujer,derecha,0,0,visual,5,VP,90.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,0.3502908999998908,1,
S32,20,Mujer,derecha,0,0,visual,6,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,0.6714578999999503,1,
S32,20,Mujer,derecha,0,0,visual,7,VP,90.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,0.0559913999995842,1,
S32,20,Mujer,derecha,0,0,visual,8,EXP,0.0,135.0,EXP,1000.0,100.0,2.0,0.0,catch,0.3629677999997511,1,
S32,20,Mujer,derecha,0,0,visual,9,VP,90.0,135.0,VP,1000.0,160.0,0.0,0.0,normal,0.3345022999992579,1,
S32,20,Mujer,derecha,0,0,visual,10,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,0.2816795999997339,1,
S32,20,Mujer,derecha,0,0,visual,11,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,0.1738537999999607,1,
S32,20,Mujer,derecha,0,0,visual,12,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,0.1847297999993316,1,
S32,20,Mujer,derecha,0,0,visual,13,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,2.20568159999948,1,
S32,20,Mujer,derecha,0,0,visual,14,EXP,90.0,45.0,EXP,1600.0,160.0,2.0,0.0,catch,0.3021189999999478,1,
S32,20,Mujer,derecha,0,0,visual,15,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,0.4548735999997007,1,
S32,20,Mujer,derecha,0,0,visual,16,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,0.184722299999521,1,
S32,20,Mujer,derecha,0,0,visual,17,VP,0.0,45.0,VP,1000.0,160.0,0.0,0.0,normal,0.0582671000001937,1,
S32,20,Mujer,derecha,0,0,visual,18,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,0.1429213999999774,1,
S32,20,Mujer,derecha,0,0,visual,19,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,0.6601485000001048,1,
S32,20,Mujer,derecha,0,0,visual,20,EXP,90.0,45.0,VP,1600.0,100.0,0.0,0.0,catch,0.5201625999998214,0,
S32,20,Mujer,derecha,0,0,visual,21,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,0.1021251999991363,1,
S32,20,Mujer,derecha,0,0,visual,22,EXP,90.0,45.0,EXP,1000.0,100.0,2.0,0.0,catch,0.1662188000000242,1,
S32,20,Mujer,derecha,0,0,visual,23,EXP,90.0,45.0,EXP,1600.0,160.0,1.0,0.0,normal,0.0939404999999169,0,
S32,20,Mujer,derecha,0,0,visual,24,VP,0.0,45.0,EXP,1000.0,100.0,0.0,0.0,catch,0.1481942000000344,0,
S32,20,Mujer,derecha,0,0,visual,25,VP,0.0,45.0,VP,1600.0,100.0,0.0,0.0,normal,0.049269699999968,1,
S32,20,Mujer,derecha,0,0,visual,26,EXP,0.0,135.0,EXP,1000.0,100.0,1.0,0.0,normal,0.3210142000007181,0,
S32,20,Mujer,derecha,0,0,visual,27,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,catch,0.0348610000000917,0,
S32,20,Mujer,derecha,0,0,visual,28,VP,90.0,135.0,VP,1600.0,100.0,0.0,0.0,normal,1.9287230999998428,1,
S32,20,Mujer,derecha,0,0,visual,29,EXP,0.0,135.0,EXP,1600.0,160.0,1.0,0.0,normal,0.9154386999998678,0,
S32,20,Mujer,derecha,0,0,visual,30,EXP,90.0,45.0,VP,1000.0,160.0,0.0,0.0,normal,0.6636286000002656,1,
S32,20,Mujer,derecha,0,0,visual,31,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,0.7618734999996377,1,
S32,20,Mujer,derecha,0,0,visual,32,EXP,90.0,45.0,EXP,1000.0,100.0,1.0,0.0,catch,0.3375721000002158,1,
S32,20,Mujer,derecha,0,0,visual,33,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,0.5263483999997334,1,
S32,20,Mujer,derecha,0,0,visual,34,EXP,0.0,135.0,EXP,1600.0,160.0,2.0,0.0,catch,0.90213440000025,1,
S32,20,Mujer,derecha,0,0,visual,35,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,0.6432401000001846,1,
S32,20,Mujer,derecha,0,0,visual,36,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,0.7059754000001703,1,
S32,20,Mujer,derecha,0,0,visual,37,EXP,0.0,135.0,VP,1600.0,100.0,0.0,0.0,normal,0.0218242999999347,1,
S32,20,Mujer,derecha,0,0,visual,38,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,0.0618936999999277,1,
S32,20,Mujer,derecha,0,0,visual,39,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,0.1072123000003557,1,
S32,20,Mujer,derecha,0,1,visual,0,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,0.3678931999993438,1,
S32,20,Mujer,derecha,0,1,visual,1,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,0.2713725000003251,1,
S32,20,Mujer,derecha,0,1,visual,2,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,0.0395396000003529,1,
S32,20,Mujer,derecha,0,1,visual,3,EXP,90.0,45.0,EXP,1000.0,100.0,1.0,0.0,catch,0.0634513999993942,1,
S32,20,Mujer,derecha,0,1,visual,4,EXP,90.0,45.0,EXP,1600.0,160.0,1.0,0.0,catch,0.1360543000000689,1,
S32,20,Mujer,derecha,0,1,visual,5,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,0.1353613999999652,1,
S32,20,Mujer,derecha,0,1,visual,6,VP,90.0,135.0,VP,1600.0,100.0,0.0,0.0,normal,0.1127247999993414,1,
S32,20,Mujer,derecha,0,1,visual,7,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,0.4751758000002155,1,
S32,20,Mujer,derecha,0,1,visual,8,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,0.1038109000000986,1,
S32,20,Mujer,derecha,0,1,visual,9,EXP,0.0,135.0,VP,1600.0,100.0,0.0,0.0,normal,1.0058281000001443,1,
S32,20,Mujer,derecha,0,1,visual,10,EXP,0.0,135.0,EXP,1000.0,100.0,2.0,0.0,catch,0.3638470999994752,1,
S32,20,Mujer,derecha,0,1,visual,11,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,catch,0.1705502999993768,0,
S32,20,Mujer,derecha,0,1,visual,12,EXP,90.0,45.0,EXP,1600.0,160.0,2.0,0.0,normal,0.3190009999998437,0,
S32,20,Mujer,derecha,0,1,visual,13,VP,90.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,0.3483464999999341,1,
S32,20,Mujer,derecha,0,1,visual,14,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,0.0743567000008624,1,
S32,20,Mujer,derecha,0,1,visual,15,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,0.1046928000005209,1,
S32,20,Mujer,derecha,0,1,visual,16,VP,90.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,0.533746400000382,1,
S32,20,Mujer,derecha,0,1,visual,17,EXP,0.0,135.0,EXP,1600.0,160.0,1.0,0.0,catch,1.1497693999999683,1,
S32,20,Mujer,derecha,0,1,visual,18,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,catch,0.6055619999997361,0,
S32,20,Mujer,derecha,0,1,visual,19,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,0.3526621000000887,1,
S32,20,Mujer,derecha,0,1,visual,20,EXP,0.0,135.0,EXP,1000.0,100.0,1.0,0.0,catch,0.278252699999939,1,
S32,20,Mujer,derecha,0,1,visual,21,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,0.7769779000000199,1,
