id,age,gender,hand,phase,block,modality,ntrial,v_pred,v_leading,v_trailing,a_pred,a_leading,a_trailing,catch,target,resp,RT,correct,diff
S30,19,Mujer,derecha,0,0,visual,0,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,3.605506799998693,1,
S30,19,Mujer,derecha,0,0,visual,1,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,1.6055680999998003,1,
S30,19,Mujer,derecha,0,0,visual,2,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,2.288066400000389,1,
S30,19,Mujer,derecha,0,0,visual,3,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,0.9065947000017331,1,
S30,19,Mujer,derecha,0,0,visual,4,VP,90.0,135.0,VP,1600.0,100.0,0.0,0.0,normal,1.2726608999983,1,
S30,19,Mujer,derecha,0,0,visual,5,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,2.259707000001072,1,
S30,19,Mujer,derecha,0,0,visual,6,EXP,90.0,45.0,EXP,1000.0,100.0,1.0,0.0,catch,0.991355799997109,1,
S30,19,Mujer,derecha,0,0,visual,7,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,1.1063587999997253,1,
S30,19,Mujer,derecha,0,0,visual,8,VP,0.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,1.3724025000010442,1,
S30,19,Mujer,derecha,0,0,visual,9,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,0.8189957000031427,1,
S30,19,Mujer,derecha,0,0,visual,10,EXP,0.0,135.0,EXP,1000.0,100.0,1.0,0.0,catch,0.3685617000010097,1,
S30,19,Mujer,derecha,0,0,visual,11,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,1.2848583000013605,1,
S30,19,Mujer,derecha,0,0,visual,12,VP,0.0,45.0,VP,1600.0,100.0,0.0,0.0,normal,2.143286200000148,1,
S30,19,Mujer,derecha,0,0,visual,13,EXP,90.0,45.0,EXP,1000.0,100.0,2.0,0.0,catch,0.8647681000002194,1,
S30,19,Mujer,derecha,0,0,visual,14,VP,0.0,45.0,VP,1000.0,160.0,0.0,0.0,normal,0.7435245000015129,1,
S30,19,Mujer,derecha,0,0,visual,15,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,0.6437597000003734,1,
S30,19,Mujer,derecha,0,0,visual,16,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,catch,6.528316199997789,0,
S30,19,Mujer,derecha,0,0,visual,17,VP,0.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,2.0606186000004527,1,
S30,19,Mujer,derecha,0,0,visual,18,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,0.6813732000009622,1,
S30,19,Mujer,derecha,0,0,visual,19,EXP,0.0,135.0,EXP,1000.0,100.0,2.0,0.0,catch,0.3792821999995794,1,
S30,19,Mujer,derecha,0,0,visual,20,VP,90.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,0.9391673000027368,1,
S30,19,Mujer,derecha,0,0,visual,21,EXP,0.0,135.0,VP,1000.0,160.0,0.0,0.0,normal,0.3697009000024991,1,
S30,19,Mujer,derecha,0,0,visual,22,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,0.8829210000003513,1,
S30,19,Mujer,derecha,0,0,visual,23,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,0.9987252999999328,1,
S30,19,Mujer,derecha,0,0,visual,24,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,0.5348556999997527,1,
S30,19,Mujer,derecha,0,0,visual,25,EXP,90.0,45.0,VP,1000.0,160.0,0.0,0.0,normal,0.3041004999977303,1,
S30,19,Mujer,derecha,0,0,visual,26,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,0.2934685000000172,1,
S30,19,Mujer,derecha,0,0,visual,27,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,0.0155775999992329,1,
S30,19,Mujer,derecha,0,0,visual,28,EXP,90.0,45.0,VP,1600.0,100.0,0.0,0.0,normal,0.5702060000003257,1,
S30,19,Mujer,derecha,0,0,visual,29,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,0.3343764999990526,1,
S30,19,Mujer,derecha,0,0,visual,30,EXP,90.0,45.0,EXP,1600.0,160.0,2.0,0.0,catch,0.314226200000121,1,
S30,19,Mujer,derecha,0,0,visual,31,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,0.2920054999995045,1,
S30,19,Mujer,derecha,0,0,visual,32,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,0.8682418999997026,1,
S30,19,Mujer,derecha,0,0,visual,33,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,0.1586906999982602,1,
S30,19,Mujer,derecha,0,0,visual,34,EXP,0.0,135.0,EXP,1600.0,160.0,1.0,0.0,catch,0.2230951999990793,1,
S30,19,Mujer,derecha,0,0,visual,35,EXP,0.0,135.0,EXP,1600.0,160.0,2.0,0.0,catch,0.4033292999993136,1,
S30,19,Mujer,derecha,0,0,visual,36,EXP,90.0,45.0,EXP,1600.0,160.0,1.0,0.0,catch,0.4578852000013285,1,
S30,19,Mujer,derecha,0,0,visual,37,VP,90.0,135.0,VP,1000.0,160.0,0.0,0.0,normal,1.2787888000020755,1,
S30,19,Mujer,derecha,0,0,visual,38,EXP,0.0,135.0,VP,1600.0,100.0,0.0,0.0,normal,0.8859563000005437,1,
S30,19,Mujer,derecha,0,0,visual,39,VP,90.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,0.5252416000002995,1,
S30,19,Mujer,derecha,0,1,visual,0,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,1.293223600001511,1,
S30,19,Mujer,derecha,0,1,visual,1,VP,0.0,45.0,VP,1000.0,160.0,0.0,0.0,normal,0.2149413999977696,1,
