id,age,gender,hand,phase,block,modality,ntrial,v_pred,v_leading,v_trailing,a_pred,a_leading,a_trailing,catch,target,resp,RT,correct,diff
S13,24,Mujer,derecha,0,0,visual,0,EXP,0.0,135.0,EXP,1000.0,160.0,0.0,0.0,normal,0.9754694000002928,1,
S13,24,Mujer,derecha,0,0,visual,1,EXP,0.0,135.0,EXP,1600.0,100.0,0.0,0.0,normal,0.7104673000285402,1,
S13,24,Mujer,derecha,0,0,visual,2,EXP,90.0,45.0,EXP,1000.0,160.0,0.0,0.0,normal,0.5815535999718122,1,
S13,24,Mujer,derecha,0,0,visual,3,EXP,0.0,135.0,VP,1600.0,160.0,0.0,0.0,normal,0.4683497999794781,1,
S13,24,Mujer,derecha,0,0,visual,4,EXP,90.0,45.0,VP,1600.0,160.0,0.0,0.0,normal,0.5443326000240631,1,
S13,24,Mujer,derecha,0,0,visual,5,EXP,0.0,135.0,EXP,1000.0,160.0,2.0,0.0,catch,0.5983116999850608,1,
S13,24,Mujer,derecha,0,0,visual,6,EXP,0.0,135.0,EXP,1600.0,100.0,1.0,0.0,catch,0.460651199973654,1,
S13,24,Mujer,derecha,0,0,visual,7,EXP,90.0,45.0,EXP,1000.0,160.0,0.0,0.0,normal,0.3876746000023559,1,
S13,24,Mujer,derecha,0,0,visual,8,VP,90.0,135.0,EXP,1000.0,160.0,0.0,0.0,normal,0.4116509000305086,1,
S13,24,Mujer,derecha,0,0,visual,9,EXP,90.0,45.0,EXP,1600.0,100.0,0.0,0.0,normal,0.7612193999812007,1,
S13,24,Mujer,derecha,0,0,visual,10,VP,90.0,135.0,EXP,1600.0,100.0,0.0,0.0,normal,0.4718213000451214,1,
S13,24,Mujer,derecha,0,0,visual,11,EXP,90.0,45.0,EXP,1000.0,160.0,0.0,0.0,normal,0.2916843999992125,1,
S13,24,Mujer,derecha,0,0,visual,12,EXP,0.0,135.0,EXP,1000.0,160.0,0.0,0.0,normal,0.5248535000137053,1,
S13,24,Mujer,derecha,0,0,visual,13,EXP,0.0,135.0,EXP,1000.0,160.0,0.0,0.0,normal,0.2885470000328496,1,
S13,24,Mujer,derecha,0,0,visual,14,EXP,90.0,45.0,EXP,1600.0,100.0,1.0,0.0,catch,0.3102411999716423,1,
S13,24,Mujer,derecha,0,0,visual,15,VP,0.0,45.0,EXP,1600.0,100.0,0.0,0.0,normal,0.3794902000227012,1,
S13,24,Mujer,derecha,0,0,visual,16,EXP,0.0,135.0,EXP,1000.0,160.0,1.0,0.0,catch,0.3084696000441909,1,
S13,24,Mujer,derecha,0,0,visual,17,EXP,90.0,45.0,EXP,1600.0,100.0,0.0,0.0,normal,0.4372923000482842,1,
